claim_ids	premises	hypotheses	labels
152	EBI2 therefore provides a previously uncharacterized dimension to B cell migration that is crucial for coordinating rapid versus long-term antibody responses.	B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.	entailment
152	This is achieved by the generation of spatially distinct extrafollicular plasmablast and follicular germinal center (GC) B cell populations, but the signals that guide responding B cells to these alternative compartments have not been fully elucidated.	B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.	neutral
152	Humoral immunity depends on both rapid and long-term antibody production against invading pathogens.	B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.	neutral
155	Eliminating BCL-2 yielded rapid loss of leukemic cells and significantly prolonged survival, formally validating BCL-2 as a rational target for cancer therapy.	BCL-2 activation antagonizes the apoptotic effects of c-Myc.	entailment
155	This suggests a generalizable model in which aberrations inherent to cancer generate tonic death signals that would otherwise kill the cell if not opposed by a requisite apoptotic defect(s).	BCL-2 activation antagonizes the apoptotic effects of c-Myc.	neutral
156	Eliminating BCL-2 yielded rapid loss of leukemic cells and significantly prolonged survival, formally validating BCL-2 as a rational target for cancer therapy.	BCL-2 promotes the apoptotic effects of c-Myc.	contradiction
156	Resistance to apoptosis, often achieved by the overexpression of antiapoptotic proteins, is common and perhaps required in the genesis of cancer.	BCL-2 promotes the apoptotic effects of c-Myc.	neutral
157	cDNA analysis of the candidate gene identified a 4437 bp cDNA that encodes a 1417 amino acid peptide with homology to the RecQ helicases, a subfamily of DExH box-containing DNA and RNA helicases.	BLM gene encodes RecQ-class DNA helicase.	entailment
157	The Bloom's syndrome (BS) gene, BLM, plays an important role in the maintenance of genomic stability in somatic cells.	BLM gene encodes RecQ-class DNA helicase.	neutral
159	Mutations conferring nonsense-mediated decay were associated with differential breast or ovarian cancer risks and an earlier age of breast cancer diagnosis for both BRCA1 and BRCA2 mutation carriers.	BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.	entailment
159	CONCLUSIONS AND RELEVANCE Breast and ovarian cancer risks varied by type and location of BRCA1/2 mutations.	BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.	entailment
159	We also identified 3 OCCRs: the first (OCCR1) spanned c.3249 to c.5681 that was adjacent to c.5946delT (6174delT; RHR = 0.51; 95% CI, 0.44-0.60; P = 6 × 10(-17)).	BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.	neutral
159	A value of RHR greater than 1 indicated elevated breast cancer risk; a value of RHR less than 1 indicated elevated ovarian cancer risk.	BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.	neutral
160	A CSF-blood glucose ratio of 0.4 or less (likelihood ratio [LR], 18; 95% CI, 12-27]), CSF white blood cell count of 500/muL or higher (LR, 15; 95% CI, 10-22), and CSF lactate level of 31.53 mg/dL or more (> or =3.5 mmol/L; LR, 21; 95% CI, 14-32) accurately diagnosed bacterial meningitis.	Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.	entailment
160	CONTEXT Diagnostic lumbar punctures (LPs), commonly used to rule out meningitis, are associated with adverse events.	Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.	neutral
164	No association was detected between bariatric surgery and fractures, cancer, or stroke.	Bariatric surgery increases rates of colorectal cancer.	entailment
164	This weight loss is accompanied by substantial improvements in pre-existing T2DM and hypertension, as well as a reduced risk of incident T2DM, hypertension, angina, MI, and obstructive sleep apnoea.	Bariatric surgery increases rates of colorectal cancer.	neutral
165	No association was detected between bariatric surgery and fractures, cancer, or stroke.	Bariatric surgery increases rates of postmenopausal breast cancer.	entailment
165	Weight measures were available for 3,847 patients between 1 and 4 mo, 2,884 patients between 5 and 12 mo, and 2,258 patients between 13 and 48 mo post-procedure.	Bariatric surgery increases rates of postmenopausal breast cancer.	neutral
166	Bariatric surgery was, however, consistently associated with postoperative decreases in the prevalence of depression (7 studies; 8%-74% decrease) and the severity of depressive symptoms (6 studies; 40%-70% decrease).	Bariatric surgery leads to negative outcomes in mental health.	contradiction
166	Moderate-quality evidence supports an association between bariatric surgery and lower rates of depression postoperatively.	Bariatric surgery leads to negative outcomes in mental health.	contradiction
166	Neither depression nor binge eating disorder was consistently associated with differences in weight outcomes.	Bariatric surgery leads to negative outcomes in mental health.	neutral
166	Mental health conditions may be common among patients seeking bariatric surgery; however, the prevalence of these conditions and whether they are associated with postoperative outcomes remains unknown.	Bariatric surgery leads to negative outcomes in mental health.	neutral
167	Bariatric surgery was, however, consistently associated with postoperative decreases in the prevalence of depression (7 studies; 8%-74% decrease) and the severity of depressive symptoms (6 studies; 40%-70% decrease).	Bariatric surgery leads to positive outcomes in mental health.	entailment
167	Moderate-quality evidence supports an association between bariatric surgery and lower rates of depression postoperatively.	Bariatric surgery leads to positive outcomes in mental health.	entailment
167	IMPORTANCE Bariatric surgery is associated with sustained weight loss and improved physical health status for severely obese individuals.	Bariatric surgery leads to positive outcomes in mental health.	neutral
167	Mental health conditions may be common among patients seeking bariatric surgery; however, the prevalence of these conditions and whether they are associated with postoperative outcomes remains unknown.	Bariatric surgery leads to positive outcomes in mental health.	neutral
168	No association was detected between bariatric surgery and fractures, cancer, or stroke.	Bariatric surgery reduces colorectal cancer.	contradiction
168	Bariatric surgery patients exhibited rapid weight loss for the first four postoperative months, at a rate of 4.98 kg/mo (95% CI 4.88-5.08).	Bariatric surgery reduces colorectal cancer.	neutral
169	No association was detected between bariatric surgery and fractures, cancer, or stroke.	Bariatric surgery reduces postmenopausal breast cancer.	contradiction
169	BACKGROUND Bariatric surgery is becoming a more widespread treatment for obesity.	Bariatric surgery reduces postmenopausal breast cancer.	neutral
172	We report that activation of basophils by autoreactive IgE causes their homing to lymph nodes, promoting T helper type 2 (T(H)2) cell differentiation and enhancing the production of self-reactive antibodies that cause lupus-like nephritis in mice lacking the Src family protein tyrosine kinase Lyn (Lyn(-/-) mice).	Basophils promote disease development in patients with systemic lupus erythematosus (SLE).	entailment
172	Individuals with SLE also have elevated serum IgE, self-reactive IgEs and activated basophils that express CD62 ligand (CD62L) and the major histocompatibility complex (MHC) class II molecule human leukocyte antigen-DR (HLA-DR), parameters that are associated with increased disease activity and active lupus nephritis.	Basophils promote disease development in patients with systemic lupus erythematosus (SLE).	entailment
172	Thus, in Lyn(-/-) mice, basophils and IgE autoantibodies amplify autoantibody production that leads to lupus nephritis, and in individuals with SLE IgE autoantibodies and activated basophils are factors associated with disease activity and nephritis.	Basophils promote disease development in patients with systemic lupus erythematosus (SLE).	entailment
177	Furthermore, p53BERs produce, in a p53-dependent manner, enhancer RNAs (eRNAs) that are required for efficient transcriptional enhancement of interacting target genes and induction of a p53-dependent cell-cycle arrest.	Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.	entailment
177	Moreover, eRNA production from p53BERs is required for efficient p53 transcription enhancement.	Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.	entailment
177	We demonstrate that these p53-bound enhancer regions (p53BERs) indeed contain enhancer activity and interact intrachromosomally with multiple neighboring genes to convey long-distance p53-dependent transcription regulation.	Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.	neutral
177	Using genome-wide chromatin-binding profiles, we describe binding of p53 also to regions located distantly from any known p53 target gene.	Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.	neutral
178	Birth weight was positively associated with breast cancer risk in studies based on birth records (pooled relative risk [RR] per one standard deviation [SD] [= 0.5 kg] increment in birth weight: 1.06; 95% confidence interval [CI] 1.02-1.09) and parental recall when the participants were children (1.02; 95% CI 0.99-1.05), but not in those based on adult self-reports, or maternal recall during the woman's adulthood (0.98; 95% CI 0.95-1.01) (p for heterogeneity between data sources = 0.003).	Birth-weight is negatively associated with breast cancer.	contradiction
178	Relative to women who weighed 3.000-3.499 kg, the risk was 0.96 (CI 0.80-1.16) in those who weighed < 2.500 kg, and 1.12 (95% CI 1.00-1.25) in those who weighed > or = 4.000 kg (p for linear trend = 0.001) in birth record data.	Birth-weight is negatively associated with breast cancer.	contradiction
178	CONCLUSIONS This pooled analysis of individual participant data is consistent with birth size, and in particular birth length, being an independent correlate of breast cancer risk in adulthood.	Birth-weight is negatively associated with breast cancer.	contradiction
178	Simultaneous adjustment for these three birth size variables showed that length was the strongest independent predictor of risk.	Birth-weight is negatively associated with breast cancer.	neutral
178	The birth size effects did not appear to be confounded or mediated by established breast cancer risk factors and were not modified by age or menopausal status.	Birth-weight is negatively associated with breast cancer.	neutral
178	The cumulative incidence of breast cancer per 100 women by age 80 y in the study populations was estimated to be 10.0, 10.0, 10.4, and 11.5 in those who were, respectively, in the bottom, second, third, and top fourths of the birth length distribution.	Birth-weight is negatively associated with breast cancer.	neutral
178	The relative risk estimate for breast cancer comparing women with high birthweight to women with low birthweight combining all studies including both pre- and postmenopausal breast cancer was 1.23 (95% confidence interval 1.13-1.34).	Birth-weight is negatively associated with breast cancer.	contradiction
178	We reviewed the available evidence on the association between birthweight and the risk of breast cancer.	Birth-weight is negatively associated with breast cancer.	neutral
178	Increased risk of breast cancer was noted with increased birthweight (relative risk [RR] 1.15 [95% CI 1.09-1.21]), birth length (1.28 [1.11-1.48]), higher maternal age (1.13 [1.02-1.25]), and paternal age (1.12 [1.05-1.19]).	Birth-weight is negatively associated with breast cancer.	contradiction
178	The in-utero mechanisms responsible for such predisposition need to be elucidated.	Birth-weight is negatively associated with breast cancer.	neutral
178	RESULTS We found that heavier birth weights were associated with increased breast cancer risk, with studies involving five categories of birth weight identifying odds ratios (ORs) of 1.24 (95% confidence interval [CI] 1.04 to 1.48) for 4,000 g or more and 1.15 (95% CI 1.04 to 1.26) for 3,500 g to 3,999 g, relative to a birth weight of 2,500 to 2,599 g. These studies provided no support for a J-shaped relationship of birthweight to risk.	Birth-weight is negatively associated with breast cancer.	contradiction
178	CONCLUSION Our findings provide some support for the hypothesis that in utero exposures reflective of higher endogenous hormone levels could affect risk for development of breast cancer in adulthood.	Birth-weight is negatively associated with breast cancer.	contradiction
178	We investigated the associations between perinatal factors and subsequent breast cancer risk through meta-analyses.	Birth-weight is negatively associated with breast cancer.	neutral
178	METHODS We reviewed breast cancer studies published from January 1966 to February 2007 that included data on birth weight, birth order, maternal age, gestational age, twin status, and maternal or paternal smoking.	Birth-weight is negatively associated with breast cancer.	neutral
181	The suppression of TDP-43 mitochondrial localization abolishes WT and mutant TDP-43-induced mitochondrial dysfunction and neuronal loss, and improves phenotypes of transgenic mutant TDP-43 mice.	Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 prevents TDP-43-induced neuronal loss.	entailment
181	However, the molecular mechanisms by which TDP-43 contributes to ALS pathophysiology remain elusive.	Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 prevents TDP-43-induced neuronal loss.	neutral
184	We also found that after bone marrow transplantation, host macrophages retained the capacity to expand when the development of donor macrophages was compromised.	Bone marrow cells don't contribute to adult macrophage compartments.	entailment
184	Expansion of host macrophages was functional and prevented the development of alveolar proteinosis in mice transplanted with GM-Csf-receptor-deficient progenitors.	Bone marrow cells don't contribute to adult macrophage compartments.	neutral
189	In contrast to other neutralizing MPER antibodies, 10E8 did not bind phospholipids, was not autoreactive, and bound cell-surface envelope.	Broadly HIV-1 Neutralizing Antibodies (bnAb) 10EB have no affinity for phospholipids.	entailment
189	Here we report an HIV-1 gp41 membrane-proximal external region (MPER)-specific antibody, named 10E8, which neutralizes ∼98% of tested viruses.	Broadly HIV-1 Neutralizing Antibodies (bnAb) 10EB have no affinity for phospholipids.	neutral
196	C2 acts synergistically with the drug A769662 to activate AMPK α1-containing complexes independent of upstream kinases.	C2 works synergistically with A-769662 to activate dephosphorylated AMPK.	entailment
196	We have determined the crystal structure of AMPK in complex with its activator 5-(5-hydroxyl-isoxazol-3-yl)-furan-2-phosphonic acid (C2), revealing two C2-binding sites in the γ-subunit distinct from nucleotide sites.	C2 works synergistically with A-769662 to activate dephosphorylated AMPK.	neutral
197	Soluble CCL21 functionally resembles the second CCR7 ligand, CCL19, which lacks anchoring residues and forms soluble gradients.	CCL19 is a ligand for CCR7.	entailment
197	Both soluble CCR7 ligands triggered chemotactic movement, but not surface adhesion.	CCL19 is a ligand for CCR7.	neutral
200	We further determine that CD28 costimulation augments, whereas 4-1BB costimulation reduces, exhaustion induced by persistent CAR signaling.	CD28 initiates tonic signaling in conventional T cells, which causes an exhaustion phenotype and limited efficiency.	entailment
200	We show that tonic CAR CD3-ζ phosphorylation, triggered by antigen-independent clustering of CAR single-chain variable fragments, can induce early exhaustion of CAR T cells that limits antitumor efficacy.	CD28 initiates tonic signaling in conventional T cells, which causes an exhaustion phenotype and limited efficiency.	neutral
201	Here, we demonstrate that the CD28 co-stimulatory pathway regulates the trafficking of self-reactive Ctla4(-/-) T cells to tissues.	CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.	entailment
201	Concurrent ablation of the CD28-activated Tec family kinase ITK does not block spontaneous T cell activation but instead causes self-reactive Ctla4(-/-) T cells to accumulate in secondary lymphoid organs.	CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.	entailment
201	We propose that ITK specifically licenses autoreactive T cells to enter tissues to mount destructive immune responses.	CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.	neutral
201	Notably, ITK inhibitors mimic the null mutant phenotype and also prevent pancreatic islet infiltration by diabetogenic T cells in mouse models of type 1 diabetes, highlighting their potential utility for the treatment of human autoimmune disorders.	CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.	neutral
203	Here, we show that all colorectal cancer stem cells (CR-CSCs) express CD44v6, which is required for their migration and generation of metastatic tumors.	CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.	contradiction
203	Cytokines hepatocyte growth factor (HGF), osteopontin (OPN), and stromal-derived factor 1α (SDF-1), secreted from tumor associated cells, increase CD44v6 expression in CR-CSCs by activating the Wnt/β-catenin pathway, which promotes migration and metastasis.	CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.	contradiction
203	CD44v6(-) progenitor cells do not give rise to metastatic lesions but, when treated with cytokines, acquire CD44v6 expression and metastatic capacity.	CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.	contradiction
203	Importantly, phosphatidylinositol 3-kinase (PI3K) inhibition selectively killed CD44v6 CR-CSCs and reduced metastatic growth.	CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.	contradiction
203	Thus, the metastatic process in colorectal cancer is initiated by CSCs through the expression of CD44v6, which is both a functional biomarker and therapeutic target.	CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.	contradiction
210	Those include the vesicle-mediated Coat Protein Complex I (COPI) transport complex, which is required for limiting lipid storage.	COPI coatmer is involved in lipid homeostasis.	entailment
210	We found that COPI components regulate the PAT protein composition at the lipid droplet surface, and promote the association of adipocyte triglyceride lipase (ATGL) with the lipid droplet surface to mediate lipolysis.	COPI coatmer is involved in lipid homeostasis.	entailment
210	These data indicate that the COPI complex is an evolutionarily conserved regulator of lipid homeostasis, and highlight an interaction between vesicle transport systems and lipid droplets.	COPI coatmer is involved in lipid homeostasis.	entailment
210	Furthermore, RNAi inhibition of ATGL and simultaneous drug treatment indicate that COPI and ATGL function in the same pathway.	COPI coatmer is involved in lipid homeostasis.	neutral
210	Two compounds known to inhibit COPI function, Exo1 and Brefeldin A, phenocopy COPI knockdowns.	COPI coatmer is involved in lipid homeostasis.	neutral
210	Although little is known about lipid droplet formation and regulation, it is clear that members of the PAT (perilipin, adipocyte differentiation related protein, tail interacting protein of 47 kDa) protein family coat the droplet surface and mediate interactions with lipases that remobilize the stored lipids.	COPI coatmer is involved in lipid homeostasis.	neutral
220	Conversely, enhanced Ca2+ cycling by activation of α1- and/or β3-adrenergic receptors or the SERCA2b-RyR2 pathway stimulates UCP1-independent thermogenesis in beige adipocytes.In the absence of UCP1, beige fat dynamically expends glucose through enhanced glycolysis, tricarboxylic acid metabolism and pyruvate dehydrogenase activity for ATP-dependent thermogenesis through the SERCA2b pathway; beige fat thereby functions as a 'glucose sink' and improves glucose tolerance independently of body weight loss.	Ca2+ cycling controls whole-body energy homeostasis in beige fat.	entailment
220	Our study uncovers a noncanonical thermogenic mechanism through which beige fat controls whole-body energy homeostasis via Ca2+ cycling.	Ca2+ cycling controls whole-body energy homeostasis in beige fat.	entailment
221	Here we report a robust UCP1-independent thermogenic mechanism in beige fat that involves enhanced ATP-dependent Ca2+ cycling by sarco/endoplasmic reticulum Ca2+-ATPase 2b (SERCA2b) and ryanodine receptor 2 (RyR2).	Ca2+ cycling is a UCP1-dependent thermogenic mechanism.	contradiction
221	Conversely, enhanced Ca2+ cycling by activation of α1- and/or β3-adrenergic receptors or the SERCA2b-RyR2 pathway stimulates UCP1-independent thermogenesis in beige adipocytes.	Ca2+ cycling is a UCP1-dependent thermogenic mechanism.	contradiction
221	Uncoupling protein 1 (UCP1) plays a central role in nonshivering thermogenesis in brown fat; however, its role in beige fat remains unclear.	Ca2+ cycling is a UCP1-dependent thermogenic mechanism.	neutral
221	In the absence of UCP1, beige fat dynamically expends glucose through enhanced glycolysis, tricarboxylic acid metabolism and pyruvate dehydrogenase activity for ATP-dependent thermogenesis through the SERCA2b pathway; beige fat thereby functions as a 'glucose sink' and improves glucose tolerance independently of body weight loss.	Ca2+ cycling is a UCP1-dependent thermogenic mechanism.	neutral
222	Here we report a robust UCP1-independent thermogenic mechanism in beige fat that involves enhanced ATP-dependent Ca2+ cycling by sarco/endoplasmic reticulum Ca2+-ATPase 2b (SERCA2b) and ryanodine receptor 2 (RyR2).	Ca2+ cycling is a UCP1-independent thermogenic mechanism.	entailment
222	Conversely, enhanced Ca2+ cycling by activation of α1- and/or β3-adrenergic receptors or the SERCA2b-RyR2 pathway stimulates UCP1-independent thermogenesis in beige adipocytes.	Ca2+ cycling is a UCP1-independent thermogenic mechanism.	entailment
222	Uncoupling protein 1 (UCP1) plays a central role in nonshivering thermogenesis in brown fat; however, its role in beige fat remains unclear.	Ca2+ cycling is a UCP1-independent thermogenic mechanism.	neutral
222	In the absence of UCP1, beige fat dynamically expends glucose through enhanced glycolysis, tricarboxylic acid metabolism and pyruvate dehydrogenase activity for ATP-dependent thermogenesis through the SERCA2b pathway; beige fat thereby functions as a 'glucose sink' and improves glucose tolerance independently of body weight loss.	Ca2+ cycling is a UCP1-independent thermogenic mechanism.	neutral
223	Here, integrating human tumour genomics and syngeneic mammary tumour models, we demonstrate that mTOR signalling in cancer cells dictates a mammary tumour's ability to stimulate MDSC accumulation through regulating G-CSF.	Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.	entailment
223	Inhibiting this pathway or its activators (for example, FGFR) impairs tumour progression, which is partially rescued by restoring MDSCs or G-CSF.	Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.	neutral
227	All patients with metastatic lung, colorectal, pancreatic or head and neck cancers who initially benefit from epidermal growth factor receptor (EGFR)-targeted therapies eventually develop resistance.	Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.	entailment
227	Our growing knowledge of resistance pathways provides an opportunity to develop new mechanism-based inhibitors and combination therapies to prevent or overcome therapeutic resistance in tumors.	Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.	neutral
228	Here, we show that cardiac macrophages facilitate electrical conduction through the distal atrioventricular node, where conducting cells densely intersperse with elongated macrophages expressing connexin 43.	Cardiac tissue-resident macrophages directly contribute to electrical activity.	entailment
228	Conversely, macrophages render the resting membrane potential of cardiomyocytes more positive and, according to computational modeling, accelerate their repolarization.	Cardiac tissue-resident macrophages directly contribute to electrical activity.	entailment
228	Photostimulation of channelrhodopsin-2-expressing macrophages improves atrioventricular conduction, whereas conditional deletion of connexin 43 in macrophages and congenital lack of macrophages delay atrioventricular conduction.	Cardiac tissue-resident macrophages directly contribute to electrical activity.	entailment
228	These observations implicate macrophages in normal and aberrant cardiac conduction.	Cardiac tissue-resident macrophages directly contribute to electrical activity.	entailment
235	These studies demonstrated that gynandromorph birds are genuine male:female chimaeras, and indicated that male and female avian somatic cells may have an inherent sex identity.	Cell autonomous sex determination in somatic cells occurs in Galliformes.	entailment
235	In an example where female tissue was transplanted into a male host, donor cells contributing to the developing testis retained a female identity and expressed a marker of female function.	Cell autonomous sex determination in somatic cells occurs in Galliformes.	entailment
235	Our study demonstrates that avian somatic cells possess an inherent sex identity and that, in birds, sexual differentiation is substantively cell autonomous.	Cell autonomous sex determination in somatic cells occurs in Galliformes.	entailment
235	To test this hypothesis, we transplanted presumptive mesoderm between embryos of reciprocal sexes to generate embryos containing male:female chimaeric gonads.	Cell autonomous sex determination in somatic cells occurs in Galliformes.	neutral
235	Here we have examined three lateral gynandromorph chickens (a rare, naturally occurring phenomenon in which one side of the animal appears male and the other female) to investigate the sex-determining mechanism in birds.	Cell autonomous sex determination in somatic cells occurs in Galliformes.	neutral
235	In the mammalian model of sex determination, embryos are considered to be sexually indifferent until the transient action of a sex-determining gene initiates gonadal differentiation.	Cell autonomous sex determination in somatic cells occurs in Galliformes.	neutral
241	The analysis of thousands of circadian cycles in dividing cells clearly indicated that both oscillators tick in a 1:1 mode-locked state, with cell divisions occurring tightly 5 h before the peak in circadian Rev-Erbα-YFP reporter expression.	Cellular clocks are associated with mitosis timing in NIH 3T3 cells.	entailment
241	In principle, such synchrony may be caused by either unidirectional or bidirectional coupling.	Cellular clocks are associated with mitosis timing in NIH 3T3 cells.	neutral
242	The analysis of thousands of circadian cycles in dividing cells clearly indicated that both oscillators tick in a 1:1 mode-locked state, with cell divisions occurring tightly 5 h before the peak in circadian Rev-Erbα-YFP reporter expression.	Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.	contradiction
242	In principle, such synchrony may be caused by either unidirectional or bidirectional coupling.	Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.	neutral
243	Replication-timing changes were coordinated with transcription changes for weak promoters more than strong promoters, and were accompanied by rearrangements in subnuclear position.	Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.	entailment
243	Cytogenetic studies show that these "replicon clusters" coalesce as subchromosomal units that persist through multiple cell generations, but the molecular boundaries of such units have remained elusive.	Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.	neutral
245	Activated charcoal hemoperfusion had little effect on avoiding acute kidney injury in patients with severe PQ poisoning.	Charcoal is an effective treatment for acute paraquat poisoning.	contradiction
245	Among the 12 surviving patients, 10 had normal renal function and 2 developed non-oliguric renal failure.	Charcoal is an effective treatment for acute paraquat poisoning.	neutral
246	Activated charcoal hemoperfusion had little effect on avoiding acute kidney injury in patients with severe PQ poisoning.	Charcoal shows no benefit for acute paraquat poisoning.	entailment
246	Therefore, it was concluded that in patients with normal renal function, the elimination kinetics of PQ by the kidneys were only associated with the plasma PQ concentration.	Charcoal shows no benefit for acute paraquat poisoning.	neutral
250	Treatment of 12 healthy female subjects with CDCA for 2 days resulted in increased BAT activity.	Chenodeoxycholic acid treatment decreases brown adipose tissue activity.	contradiction
250	Whole-body energy expenditure was also increased upon CDCA treatment.	Chenodeoxycholic acid treatment decreases brown adipose tissue activity.	neutral
251	Treatment of 12 healthy female subjects with CDCA for 2 days resulted in increased BAT activity.	Chenodeoxycholic acid treatment increases brown adipose tissue activity.	entailment
251	The interest in brown adipose tissue (BAT) as a target to combat metabolic disease has recently been renewed with the discovery of functional BAT in humans.	Chenodeoxycholic acid treatment increases brown adipose tissue activity.	neutral
256	Prevalences in individuals aged 16-24 years were 3·1% (2·2-4·3) in women and 2·3% (1·5-3·4) in men.	Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.	entailment
256	FINDINGS Of 8047 eligible participants invited to provide a urine sample, 4828 (60%) agreed.	Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.	neutral
258	On the basis of in vivo KLF4 chromatin immunoprecipitation–sequencing (ChIP-seq) analyses and studies of cholesterol-treated cultured SMCs, we identified >800 KLF4 target genes, including many that regulate pro-inflammatory responses of SMCs.Our findings indicate that the contribution of SMCs to atherosclerotic plaques has been greatly underestimated, and that KLF4-dependent transitions in SMC phenotype are critical in lesion pathogenesis.	Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.	entailment
258	These unidentified SMC-derived cells exhibit phenotypes of other cell lineages, including macrophages and mesenchymal stem cells (MSCs).	Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.	neutral
258	Previous studies investigating the role of smooth muscle cells (SMCs) and macrophages in the pathogenesis of atherosclerosis have provided controversial results owing to the use of unreliable methods for clearly identifying each of these cell types.	Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.	neutral
263	Indeed, during NETosis, neutrophils externalized the citrullinated autoantigens implicated in RA pathogenesis, and anti-citrullinated vimentin antibodies potently induced NET formation.In turn, NETs significantly augmented inflammatory responses in RA and OA synovial fibroblasts, including induction of IL-6, IL-8, chemokines, and adhesion molecules.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.	contradiction
263	Neutrophils isolated from patients with various autoimmune diseases display enhanced neutrophil extracellular trap (NET) formation, a phenomenon that exposes autoantigens in the context of immunostimulatory molecules.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.	neutral
263	We investigated whether aberrant NETosis occurs in RA, determined its triggers, and examined its deleterious inflammatory consequences.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.	neutral
263	BACKGROUND Histone deimination regulates gene function and contributes to antimicrobial response, allowing the formation of neutrophil extracellular traps (NETs).Deiminated proteins are target of anti-citrullinated peptides antibodies (ACPA) in rheumatoid arthritis (RA).	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.	contradiction
263	CONCLUSIONS Citrullinated H4 from activated neutrophils and NETs is a target of antibodies in RA, and synthetic citrullinated H4-derived peptides are a new substrate for ACPA detection.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.	contradiction
263	Sera were tested by immunoblot on acid extracted proteins from neutrophils and from NETs, and by ELISA on deiminated histone H4 or H4-derived peptides.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.	neutral
263	By ELISA, RA sera bound in vitro citrullinated H4.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.	neutral
263	RESULTS RA sera reacted with a deiminated antigen of 11 KDa from activated neutrophils, recognised also by anti-H4 and antideiminated H4 antibodies.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.	neutral
264	Indeed, during NETosis, neutrophils externalized the citrullinated autoantigens implicated in RA pathogenesis, and anti-citrullinated vimentin antibodies potently induced NET formation.Moreover, the inflammatory cytokines interleukin-17A (IL-17A) and tumor necrosis factor-α (TNF-α) induced NETosis in RA neutrophils.In turn, NETs significantly augmented inflammatory responses in RA and OA synovial fibroblasts, including induction of IL-6, IL-8, chemokines, and adhesion molecules.These observations implicate accelerated NETosis in RA pathogenesis, through externalization of citrullinated autoantigens and immunostimulatory molecules that may promote aberrant adaptive and innate immune responses in the joint and in the periphery, and perpetuate pathogenic mechanisms in this disease.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.	entailment
