subject	predicate	object
salad	IsA	salad
salad	IsA	dish
fredericksburg	HasContext	Virginia
fredericksburg	PartOf	American_Civil_War
fredericksburg	Synonym	Fredericksburg
fredericksburg	PartOf	Virginia
lodging	Synonym	housing
lodging	IsA	residency
lodging	Synonym	lodgment
sunny	IsA	one_type_of_weather
sunny	Synonym	cheery
rolled	HasContext	botany
rolled	Synonym	trilled
rolled	SimilarTo	coiled
rolled	Synonym	furled
newspaper	MadeOf	ink_and_paper
revised	SimilarTo	altered
revised	SimilarTo	amended
supervisor	IsA	superior
blinding	SimilarTo	bright
dissipate	Synonym	fritter
dissipate	MannerOf	live
dissipate	Synonym	disperse
anomalous	SimilarTo	abnormal
enabled	DefinedAs	opposite_of_disabled
rail	IsA	wading_bird
rail	Synonym	train
rail	Synonym	rail
rail	IsA	rail
drizzle	RelatedTo	rain
pound	Synonym	beat
pound	Synonym	impound
pound	Synonym	Egyptian_pound
harmony	IsA	harmony
appliances	HasA	on/off_switches
fabricate	Synonym	manufacture
crank	Synonym	crank
crank	Synonym	methamphetamine
crank	Synonym	zigzag
crank	Synonym	crackpot
sec	SimilarTo	dry
sec	Synonym	second
sec	Synonym	Securities_and_Exchange_Commission
sec	Synonym	secant
characterisation	Synonym	word_picture
characterisation	Synonym	characterization
shortening	IsA	edible_fat
huntsville	PartOf	Alabama
ontario	PartOf	Canada
ontario	IsA	a_province_in_Canada
ontario	PartOf	Canada
ontario	IsA	a_province_of_Canada
acres	Synonym	estate
acres	IsA	"4,840_square_yards"
acres	IsA	a_measure_of_land_area
lemurs	IsA	from_Madagascar
lemurs	IsA	very_playful_animals
stories	HasA	sentences
stories	CapableOf	end_abruptly
stories	ReceivesAction	created_in_dreams
stories	CapableOf	teach_you_about_different_things
flyer	Synonym	circular
flyer	Synonym	flier
flyer	Synonym	aviator
flyer	RelatedTo	advertisement
perfume	MannerOf	groom
perfume	IsA	toiletry
infrequent	SimilarTo	rare
infrequent	SimilarTo	occasional
infrequent	RelatedTo	sporadic
stripes	Synonym	chevron
bills	HasA	specific_amounts
bills	IsA	paperwork_representations_of_transactions
bills	CausesDesire	sell_your_new_book
bills	IsA	payed_with_a_payment
sheltered	SimilarTo	invulnerable
logical	Synonym	legitimate
logical	RelatedTo	analytic
logical	RelatedTo	synthetic
logical	Synonym	lucid
snap	Synonym	gingersnap
snap	MannerOf	close
colonial	IsA	resident
colonial	HasContext	zoology
colonial	SimilarTo	complex
stains	CapableOf	spot_fabric
sounding	SimilarTo	superficial
sounding	IsA	depth
sounding	IsA	measurement
sounding	SimilarTo	audible
respects	IsA	message
vaporize	Synonym	vanish
vaporize	Synonym	evaporate
vaporize	Synonym	zap
vaporize	Synonym	gasify
cards	Synonym	card_game
generalized	Synonym	generalised
garlic	IsA	a_ingredient
garlic	IsA	a_popular_ingredient
garlic	PartOf	garlic
horses	CapableOf	jump_high
horses	CapableOf	sleep_standing
horses	CapableOf	eat_oats
horses	CapableOf	pull_carts
headwaters	IsA	beginning
disposable	SimilarTo	useable
disposable	IsA	item
disposable	SimilarTo	liquid
disposable	SimilarTo	throwaway
herbal	Synonym	herb_tea
bighorn	IsA	mountain_sheep
bighorn	Synonym	Bighorn
bighorn	PartOf	Wyoming
bighorn	Synonym	bighorn
sweater	IsA	a_piece_of_clothing
slugs	IsA	slimey
occasion	RelatedTo	event
occasion	IsA	time
propulsion	IsA	act
curing	Synonym	hardening
br	Synonym	bromine
br	Synonym	Red_Brigades
parsec	IsA	astronomy_unit
greenland	PartOf	Arctic_Ocean
greenland	PartOf	Atlantic
centimeter	PartOf	decimeter
sheep	RelatedTo	animal
sheep	RelatedTo	wool
sheep	RelatedTo	lamb
sheep	RelatedTo	wooly
provision	MannerOf	supply
provision	IsA	store
corrections	IsA	social_control
corrections	Synonym	corrections
corrections	IsA	local_department
snowfall	Synonym	snow
snowfall	ReceivesAction	measured_in_inches_in_America
sarah	IsA	a_female_name
sarah	HasContext	Old_Testament
institution	IsA	organization
institution	IsA	institution
simmering	Synonym	boiling
simmering	IsA	stewing_just_below_the_boiling_point
jews	CapableOf	doubt_god
jews	CapableOf	fast_on_yom_kippur
jews	HasA	children
jews	CapableOf	shop_at_a_kosher_delicatessen
europa	IsA	a_moon_of_Jupiter
interchangeable	SimilarTo	replaceable
interchangeable	SimilarTo	symmetrical
chick	RelatedTo	baby
chick	RelatedTo	hen
chick	RelatedTo	bird
chick	RelatedTo	girl
restaurants	IsA	places
restaurants	ReceivesAction	closed
restaurants	IsA	places_to_eat
restaurants	CapableOf	serve_salad
torn	Synonym	lacerated
torn	SimilarTo	divided
eligible	RelatedTo	qualified
eligible	SimilarTo	entitled
eligible	SimilarTo	bailable
supersonic	Synonym	ultrasonic
humanoid	Synonym	android
writers	CapableOf	complete_novels
writers	NotCapableOf	make_a_lot_of_money
hitting	Synonym	hit
buyer	IsA	customer
toxin	IsA	toxin
toxin	IsA	toxin
toxin	IsA	toxin
toxin	IsA	toxin
ar	Synonym	argon
ar	Synonym	Arkansas
ar	Synonym	are
midnight	PartOf	night
funds	IsA	funds
funds	IsA	funds
modelling	Synonym	modeling
modelling	Synonym	model
estimation	Synonym	estimate
estimation	Synonym	appraisal
toffee	Synonym	brittle
interception	HasContext	American_football
interception	IsA	catch
recreation	Synonym	refreshment
recreation	Synonym	diversion
imparting	Synonym	conveyance
supportive	SimilarTo	appurtenant
supportive	SimilarTo	accessary
supportive	SimilarTo	certificatory
supportive	RelatedTo	positive
drill	UsedFor	drilling_holes_in_things
drill	HasPrerequisite	drill
drill	UsedFor	drilling
drill	IsA	drill
logging	IsA	work
educate	Synonym	train
district	RelatedTo	area
district	RelatedTo	city
dung	Synonym	droppings
dung	MannerOf	stool
dung	MannerOf	fertilize
degraded	Synonym	degenerate
degraded	SimilarTo	low
ethnic	IsA	person
ethnic	Synonym	ethnical
ethnic	Synonym	heathenish
periphery	IsA	boundary
mainstream	IsA	thought
analyse	HasSubevent	think
analyse	HasPrerequisite	think_about_it
analyse	Synonym	analyze
analyse	HasSubevent	think_about_it
rockies	PartOf	North_America
athletes	CapableOf	run_races
athletes	CapableOf	play_sports
athletes	CapableOf	need_to_rest
athletes	CapableOf	tear_a_ligament
utmost	Synonym	farthermost
utmost	Synonym	uttermost
bugs	HasA	legs_and_wings
bugs	IsA	insects_that_live_and_die
bugs	IsA	pests
quasar	IsA	celestial_body
cotton	RelatedTo	fabric
cotton	RelatedTo	material
cotton	RelatedTo	white
cotton	RelatedTo	plant
lime	RelatedTo	lemon
lime	RelatedTo	fruit
lime	RelatedTo	green
lime	PartOf	lime
occasional	SimilarTo	infrequent
occasional	SimilarTo	irregular
rarefied	Synonym	noble-minded
rarefied	SimilarTo	thin
redistribution	IsA	distribution
ownership	IsA	ownership
assisted	SimilarTo	assisted
assisted	SimilarTo	motor-assisted
assisted	SimilarTo	power-assisted
assisted	SimilarTo	assisted
magnified	Synonym	exaggerated
adiabatic	HasContext	physics
tiller	IsA	farmer
brine	Synonym	seawater
brine	HasContext	cooking
grip	MannerOf	seize
medicinal	Synonym	medicative
industrialization	IsA	industry
slimy	Synonym	despicable
slimy	Synonym	slimed
cornstarch	IsA	starch
cornflour	Synonym	cornstarch
hide	RelatedTo	seek
hide	RelatedTo	game
hide	RelatedTo	and_seek
hide	RelatedTo	conceal
blackness	Synonym	black
blackness	Synonym	total_darkness
upland	SimilarTo	alpestrine
upland	SimilarTo	mountainous
upland	Synonym	highland
upland	SimilarTo	alpine
overcast	IsA	whipstitch
overcast	IsA	casting
overcast	Synonym	cloud-covered
overcast	Synonym	cloudiness
environmentalists	ReceivesAction	concerned_about_environmental_issues
environmentalists	CapableOf	save_the_world
auto	Synonym	car
congestion	IsA	crowding
granulated	SimilarTo	coarse
perihelion	IsA	periapsis
nacl	DefinedAs	chemical_symbol_for_common_table_salt
cardboard	UsedFor	making_boxes
cardboard	ReceivesAction	recycled
tipped	SimilarTo	tipped
tipped	SimilarTo	tipped
tipped	SimilarTo	tipped
tipped	SimilarTo	filter-tipped
absorbent	Synonym	absorbent_material
absorbent	SimilarTo	receptive
absorbent	SimilarTo	spongelike
absorbent	SimilarTo	thirsty
summarize	Synonym	sum_up
summarize	MannerOf	state
constituted	Synonym	established
savings	IsA	fund
town	UsedFor	live
practicing	PartOf	playing_violin
andes	PartOf	Ecuador
andes	PartOf	Colombia
andes	PartOf	Chile
andes	PartOf	Bolivia
wounds	CapableOf	leave_scars
wounds	ReceivesAction	dressed
pleistocene	PartOf	Quaternary
pleistocene	Synonym	Pleistocene
sporadic	SimilarTo	intermittent
sporadic	SimilarTo	unpredictable
sporadic	RelatedTo	discontinuous
sporadic	RelatedTo	infrequent
verification	Synonym	confirmation
verification	IsA	affidavit
verification	HasContext	law
lye	IsA	caustic
expectation	Synonym	arithmetic_mean
expectation	IsA	feeling
nih	Synonym	National_Institutes_of_Health
nih	IsA	a_component_of_the_U.S
materialist	IsA	disbeliever
materialist	IsA	capitalist
formulated	SimilarTo	developed
unprecedented	SimilarTo	unexampled
breakage	IsA	indefinite_quantity
breakage	IsA	change_of_integrity
definitely	Synonym	unquestionably
vapours	Synonym	blues
risen	SimilarTo	up
insolubility	Synonym	unsolvability
insolubility	IsA	quality
proved	SimilarTo	established
proved	SimilarTo	verified
proved	SimilarTo	well-tried
proved	SimilarTo	evidenced
impression	HasContext	printing
compost	IsA	composition
compost	CapableOf	smell_bad
pavement	Synonym	sidewalk
pavement	UsedFor	driving_cars_on
pavement	Synonym	paving_material
pavement	IsA	paved_surface
slab	IsA	block
silt	Synonym	silt_up
cart	Synonym	haul
cart	IsA	cart
bounce	MannerOf	expel
laterally	HasContext	anatomy
inverted	Synonym	upside-down
inverted	Synonym	anatropous
assertion	IsA	declaration
useless	SimilarTo	unavailing
regularity	IsA	symmetry
regularity	Synonym	regularity
deterministic	SimilarTo	settled
barely	Synonym	hardly
profession	IsA	profession
profession	IsA	profession
subsidiary	Synonym	supplemental
subsidiary	Synonym	subordinate
subsidiary	Synonym	subsidiary_company
detroit	PartOf	Michigan
parsons	Synonym	Talcott_Parsons
aspergillosis	IsA	opportunistic_infection
aspergillosis	IsA	disease
aspergillosis	IsA	animal_disease
tasmania	PartOf	Australia
tasmania	PartOf	Australia
rot	Synonym	waste
rot	Synonym	decompose
rot	Synonym	putrefaction
volta	PartOf	Ghana
volta	Synonym	Conte_Alessandro_Giuseppe_Antonio_Anastasio_Volta
esterification	IsA	chemical_reaction
spontaneity	IsA	naturalness
drifting	IsA	wandering
drifting	Synonym	aimless
centered	SimilarTo	central
december	IsA	a_month
blockage	IsA	obstruction
stabilizing	Synonym	stabilising
agonist	IsA	drug
agonist	HasContext	biochemistry
agonist	IsA	antagonistic_muscle
agonist	Synonym	protagonist
addiction	IsA	physiological_state
collapsing	CausesDesire	check_vital_signs
megasporangium	IsA	sporangium
ebv	Synonym	Epstein-Barr_virus
phenotype	IsA	constitution
contradictory	Synonym	self-contradictory
contradictory	Synonym	confounding
contradictory	IsA	logical_relation
contradictory	Synonym	mutually_exclusive
inactivity	IsA	act
inactivity	Synonym	inaction
viremia	IsA	pathology
oxygenation	IsA	natural_process
saturation	IsA	color_property
biosynthesis	IsA	synthesis
ancients	HasContext	Roman_Empire
ancients	IsA	people
impoundment	IsA	seizure
impoundment	HasContext	law
estuary	IsA	body_of_water
upstream	Synonym	upriver
tributary	SimilarTo	obligated
tributary	Synonym	contributing
tributary	SimilarTo	secondary
tributary	Synonym	feeder
broadly	Synonym	broadly_speaking
transponder	IsA	electrical_device
colorimetric	Synonym	colorimetric
toothpaste	UsedFor	cleaning_teeth
toothpaste	IsA	dentifrice
acyclic	HasContext	chemistry
acyclic	HasContext	botany
pyridine	IsA	base
pyridine	IsA	pyridine
demagnetize	HasContext	physics
demagnetize	MannerOf	erase
demagnetize	MannerOf	change
weatherproof	SimilarTo	protected
weatherproof	MannerOf	proof
plunger	IsA	a_tool_to_be_used_carefully
plunger	Synonym	diver
plunger	Synonym	piston
plunger	IsA	hand_tool
toroid	IsA	solid
toroid	Synonym	torus
attacked	HasSubevent	fight_back
enol	IsA	organic_compound
ldl	Synonym	low-density_lipoprotein
ldl	DefinedAs	low-density_lipoprotein
lipoprotein	IsA	conjugated_protein
lipoprotein	IsA	lipoprotein
lipoprotein	IsA	lipoprotein
lipoprotein	IsA	lipoprotein
tangent	IsA	trigonometric_function
tangent	IsA	straight_line
tangential	Synonym	digressive
vermin	IsA	pest
vermin	IsA	bad_person
harness	MannerOf	exploit
harness	IsA	stable_gear
harness	MannerOf	attach
harness	Synonym	rule
territorial	IsA	territorial
territorial	HasContext	military
ee	Synonym	electrical_engineering
formally	Synonym	officially
weights	UsedFor	exercise
saturday	DefinedAs	day_after_Friday
saturday	IsA	weekday
loading	IsA	ratio
loading	IsA	handling
loading	Synonym	cargo
loading	IsA	loading
manure	MannerOf	spread
manure	UsedFor	fertilising_crops
manure	IsA	organic
landfills	HasA	lots_of_paper
landfills	ReceivesAction	mined_for_recyclable_materials
measurable	SimilarTo	important
sale	RelatedTo	discount
sale	RelatedTo	price
sale	RelatedTo	bargain
sale	RelatedTo	prices
scissors	UsedFor	cut
scissors	CapableOf	cut_that_paper
scissors	IsA	edge_tool
leverage	IsA	advantage
leverage	IsA	mechanical_phenomenon
mask	Synonym	dissemble
underway	SimilarTo	current
egypt	IsA	a_country_in_Africa
egypt	IsA	a_country
egypt	PartOf	Egypt
importantly	Synonym	significantly
accent	IsA	accent
weakly	Synonym	decrepit
surfactant	Synonym	wetting_agent
limitation	Synonym	restriction
limitation	Synonym	limit
wilt	Synonym	wilt
wilt	IsA	wilt
spoon	UsedFor	Eating
spoon	IsA	a_utensil
spoon	Synonym	spoon
spoon	UsedFor	eating_ice_cream
trucks	CapableOf	be_backing_up
trucks	UsedFor	carry_many_things
trucks	CapableOf	pull_trailors_with_cargo_in_them
trucks	UsedFor	go_from_place_to_place
inventory	Synonym	stock
nitrous	Synonym	azotic
dollar	RelatedTo	money
dollar	RelatedTo	currency
dollar	RelatedTo	american
dollar	RelatedTo	bill
bathing	HasPrerequisite	water
bathing	Causes	become_clean
bathing	Causes	be_clean
bathing	HasSubevent	using_soap
ninety	Synonym	90
ninety	IsA	large_integer
urgency	IsA	importance
hopi	IsA	Shoshoni
hopi	IsA	a_tribe_of_Native_Americans
hopi	IsA	Pueblo
hopi	IsA	Shoshonean
hysterectomy	IsA	ablation
hysterectomy	IsA	hysterectomy
hysterectomy	IsA	hysterectomy
tolerance	IsA	endurance
persistence	Synonym	doggedness
persistence	Synonym	continuity
persistence	Synonym	perseverance
ok	Synonym	a-okay
ok	Synonym	O.K.
ok	Synonym	Oklahoma
amnion	PartOf	amniote
amnion	HasContext	mammal
amnion	IsA	sac
amnion	PartOf	fetal_membrane
shrubs	IsA	a_medium-sized_plant
shrubs	CapableOf	produce_flowers
shrubs	CapableOf	grow_in_a_yard
prairie	IsA	grassland
amazon	IsA	mythical_being
polygenic	HasContext	genetics
polygenic	SimilarTo	inheritable
emphasized	Synonym	emphasised
conjugated	SimilarTo	united
conjugated	SimilarTo	bound
conjugated	HasContext	chemistry
hafnium	IsA	metallic_element
tantalum	IsA	metallic_element
neat	Synonym	facile
neat	Synonym	bang-up
neat	Synonym	orderly
neat	SimilarTo	tidy
plumage	Synonym	feather
pennsylvanian	Synonym	Keystone_Stater
pennsylvanian	Synonym	Pennsylvanian
pennsylvanian	PartOf	Carboniferous
districts	DefinedAs	plural_form_of_district
integrating	Synonym	integration
please	RelatedTo	asking
please	RelatedTo	request
please	RelatedTo	polite
please	RelatedTo	thank_you
epinephrine	IsA	catecholamine
epinephrine	IsA	vasoconstrictor
thyroxin	Synonym	thyroxine
tryptophan	Synonym	tryptophan
tryptophan	IsA	essential_amino_acid
phenylalanine	IsA	essential_amino_acid
furrow	IsA	trench
furrow	MannerOf	fold
whips	UsedFor	punish_people
whips	UsedFor	discipline
whips	UsedFor	hit
whips	CapableOf	hurt_asses
glassware	IsA	tableware
consistently	Synonym	systematically
isometric	HasContext	physiology
isometric	HasContext	crystallography
isometric	Synonym	isometrical
isometric	Synonym	isometric_line
lieu	Synonym	stead
simulated	Synonym	faux
simulated	SimilarTo	imitative
fulcrum	IsA	pivot
fulcrum	PartOf	lever
illustrate	MannerOf	decorate
cockroaches	IsA	insects
cockroaches	CausesDesire	clean_your_room
cockroaches	CausesDesire	do_the_housework
library	UsedFor	do_research
library	RelatedTo	book
library	RelatedTo	books
library	HasA	books
authoritative	SimilarTo	official
authoritative	SimilarTo	standard
toxicology	IsA	pharmacology
presumably	Synonym	presumptively
sticking	Synonym	sticking_out
reproducibility	IsA	dependability
informal	SimilarTo	nonliterary
informal	SimilarTo	epistolatory
interactive	Synonym	interactional
interactive	Synonym	synergistic
transcript	IsA	writing
styrofoam	CapableOf	last_forever
styrofoam	CapableOf	becomes_trash
seedless	SimilarTo	stoneless
seedless	SimilarTo	seeded
crucible	IsA	vessel
attain	Synonym	reach
attain	Synonym	achieve
attain	Synonym	fall_upon
confining	SimilarTo	confined
confining	Synonym	constraining
golf	IsA	an_expensive_hobby
golf	IsA	a_sport
golf	IsA	golf
calcification	IsA	hardening
calcification	IsA	inaction
calcification	IsA	chemical_process
midway	PartOf	carnival
midway	Synonym	halfway
midway	PartOf	World_War_II
midway	IsA	tract
aurora	IsA	aurora
aurora	Synonym	dawn
aurora	IsA	aurora
unequal	SimilarTo	unbalanced
unequal	SimilarTo	odds-on
unequal	RelatedTo	incommensurate
unequal	SimilarTo	nonequivalent
cathedral	RelatedTo	church
cathedral	RelatedTo	big
cathedral	RelatedTo	building
cathedral	RelatedTo	large
doubled	Synonym	two-fold
jacket	RelatedTo	coat
jacket	IsA	shell
psi	IsA	letter
psi	Synonym	pounds_per_square_inch
systole	IsA	systole
systole	IsA	pulse
excision	Synonym	deletion
excision	Synonym	ablation
excision	Synonym	extirpation
excision	Synonym	excommunication
cdna	Synonym	complementary_DNA
irradiation	Synonym	beam
irradiation	Synonym	radiotherapy
irradiation	IsA	generalization
irradiation	IsA	spread
darwinian	IsA	advocate
exciting	SimilarTo	exhilarating
exciting	SimilarTo	electrifying
exciting	SimilarTo	titillating
directional	Synonym	directing
relaxed	SimilarTo	laid-back
relaxed	SimilarTo	degage
relaxed	SimilarTo	unstrained
passageway	Synonym	passage
passageway	UsedFor	getting_from_one_place_to_another
teams	MadeOf	team_members
teams	HasA	players
teams	IsA	playing_the_games_together
teams	CapableOf	pick_a_leader
announced	Synonym	proclaimed
adenine	HasContext	biochemistry
adenine	IsA	purine
thymine	IsA	pyrimidine
cytosine	IsA	pyrimidine
interconnected	Synonym	interrelated
interconnected	SimilarTo	integrated
botanical	IsA	drug
botanical	Synonym	botanic
risky	Synonym	hazardous
risky	Synonym	high-risk
bodied	SimilarTo	silvery-bodied
bodied	SimilarTo	bodied
bodied	SimilarTo	bodied
bodied	SimilarTo	long-bodied
whales	IsA	large_marine_mammals
whales	HasA	bones
whales	IsA	mammals_without_legs
whales	HasA	acute_hearing
injured	SimilarTo	disjointed
injured	RelatedTo	damaged
injured	RelatedTo	impaired
injured	SimilarTo	wounded
carbonated	SimilarTo	effervescent
seabed	Synonym	ocean_floor
arrest	IsA	inaction
alchemical	Synonym	alchemic
overriding	Synonym	preponderating
constraint	IsA	confinement
rheology	IsA	physics
acclimatize	MannerOf	adjust
premium	SimilarTo	superior
premium	IsA	value
premium	IsA	prize
premium	Synonym	agio
kilowatt	IsA	power_unit
kilowatt	PartOf	megawatt
buying	HasSubevent	spending_money
buying	HasPrerequisite	spending_money
buying	HasSubevent	find_a_sales_clerk
buying	Causes	having_less_money
softness	IsA	sound_property
softness	IsA	indulgence
softness	IsA	economic_condition
steal	IsA	baseball
turgor	HasContext	biology
turgor	IsA	state
pistil	IsA	pistil
pistil	IsA	reproductive_structure
pistil	IsA	pistil
pistil	PartOf	flower
differential	HasContext	mathematics
differential	Synonym	differential_gear
differential	Synonym	derived_function
evolutionism	Synonym	theory_of_evolution
cytology	IsA	microscopic_anatomy
cytology	IsA	biology
integument	IsA	covering
cataract	IsA	eye_disease
cataract	IsA	cataract
cataract	IsA	waterfall
thinning	Synonym	cutting
destination	Synonym	address
emerging	SimilarTo	future
swim	RelatedTo	water
swim	HasPrerequisite	get_into_the_water
swim	HasSubevent	get_wet
swim	HasPrerequisite	go_to_the_pool
craft	IsA	vehicle
craft	MannerOf	fashion
masters	Synonym	Edgar_Lee_Masters
stigma	DefinedAs	attempt_to_label_a_particular_group_of_people_as_less_worthy_of_respect_than_others
stigma	Synonym	mark
games	UsedFor	have_fun
games	IsA	entertainment_in_themselves
firms	HasA	leaves_in_their_logos
communicator	IsA	person
moral	RelatedTo	virtuous
animate	Synonym	inspire
venom	IsA	venom
venom	Synonym	malice
venom	IsA	animal_toxin
skid	MannerOf	brake
skid	MannerOf	raise
drunks	CapableOf	lie_in_alleyways
drunks	CapableOf	drink_drinks
drunks	CapableOf	glass_drunks
newts	IsA	"brightly-colored_salamanders,_a_type_of_amphibian"
blooded	Synonym	full-blood
radiating	SimilarTo	divergent
innovative	Synonym	innovational
innovative	Synonym	forward-looking
document	IsA	writing
document	MannerOf	confirm
overwhelm	MannerOf	arouse
distress	IsA	adversity
strengthen	MannerOf	strengthen
suture	IsA	joint
suture	IsA	suture
continuation	Synonym	good_continuation
continuation	Synonym	lengthiness
continuation	Synonym	sequel
continuation	Synonym	continuance
hurt	Synonym	injury
coverage	IsA	news
coverage	IsA	extent
coverage	IsA	sum
lodge	Synonym	stick
lodge	MannerOf	inhabit
ex	Synonym	old-fashioned
ex	Synonym	ex-husband
ex	Synonym	exwife
ex	Synonym	X
fcc	Synonym	Federal_Communications_Commission
fcc	IsA	an_abbreviation_for_Federal_Communications_Commission
specification	IsA	naming
specification	IsA	description
specification	HasContext	law
intermingle	Synonym	blend
hungary	HasContext	Hungary
hungary	Synonym	Hungary
va	Synonym	Virginia
va	Synonym	Department_of_Veterans_Affairs
tables	UsedFor	hold_things
tables	IsA	card_tables
tables	ReceivesAction	nested_for_easy_storage
tables	HasPrerequisite	tables
endothelium	IsA	epithelium
sustainability	IsA	property
th	Synonym	thorium
th	Synonym	Thursday
thirst	CausesDesire	drink
thirst	Synonym	hunger
thirst	Synonym	crave
thirst	IsA	drive
dehydrated	SimilarTo	unhealthy
dehydrated	SimilarTo	preserved
unevenly	Synonym	unequally
unevenly	Synonym	raggedly
digging	Synonym	excavation
suck	Synonym	absorb
suck	Synonym	blow
suck	MannerOf	absorb
suck	Synonym	sucking
branched	Synonym	forficate
branched	SimilarTo	branchy
internode	IsA	segment
internode	PartOf	stalk
alternate	MannerOf	act
alternate	Synonym	surrogate
alternate	Synonym	interchange
caterpillars	IsA	caterpillars
caterpillars	CapableOf	roll_along_the_ground
cane	IsA	cane
pale	Synonym	picket
pale	SimilarTo	light
suggestive	Synonym	significative
suggestive	Synonym	implicative
suggestive	SimilarTo	indecent
monoecious	SimilarTo	autoicous
monoecious	SimilarTo	paroicous
monoecious	SimilarTo	heteroicous
monoecious	SimilarTo	synoecious
alberta	PartOf	Canada
alberta	PartOf	Canada
roses	IsA	flowers
roses	HasA	thorns_on_their_stems
roses	ReceivesAction	found_in_a_pleasure_garden
roses	HasA	thorns
dragon	IsA	a_mythical_beast
dragon	CapableOf	breathe_fire
dragon	IsA	a_mythological_reptilian_monster
dragon	Synonym	Draco
flatworm	IsA	worm
homosexual	SimilarTo	sapphic
childbearing	Synonym	childbirth
scores	Synonym	tons
systematic	RelatedTo	organized
hydrate	MannerOf	change
hydrate	MannerOf	humidify
hydrate	IsA	compound
hydrate	MannerOf	supply
swimmers	CapableOf	laugh_at_dogs
swimmers	CapableOf	wear_swimsuits
ill	RelatedTo	sick
ill	Synonym	ominous
ill	SimilarTo	afflicted
ill	SimilarTo	spastic
epsilon	IsA	letter
interrupt	IsA	signal
substratum	IsA	stratum
substratum	IsA	indigenous_language
substratum	IsA	surface
ecm	Synonym	electronic_countermeasures
elevation	Synonym	acme
elevation	IsA	distance
rainwater	Synonym	rain
standpoint	Synonym	point_of_view
conclusively	Synonym	once_and_for_all
compositional	SimilarTo	integrative
stratification	IsA	placement
credible	SimilarTo	presumptive
credible	SimilarTo	likely
credible	RelatedTo	thinkable
blackbody	Synonym	black_body
pellet	Synonym	shot
pellet	IsA	ball
silvery	Synonym	silverish
silvery	SimilarTo	euphonious
silvery	Synonym	silvern
harris	Synonym	Townsend_Harris
harris	Synonym	Sir_Arthur_Travers_Harris
harris	Synonym	James_Thomas_Harris
harris	Synonym	Joel_Chandler_Harris
wooden	SimilarTo	awkward
formless	Synonym	amorphous
formless	SimilarTo	unbodied
tl	Synonym	thallium
seaward	Synonym	offshore
seaward	Synonym	seawards
seaward	IsA	direction
seaward	SimilarTo	coastal
fallout	Synonym	side_effect
fallout	IsA	dust
radium	IsA	metallic_element
suckle	MannerOf	feed
suckle	Entails	drink
suckle	Synonym	breastfeed
hammer	UsedFor	driving_nails
hammer	UsedFor	pounding_nails
hammer	CapableOf	strike_nail
hammer	UsedFor	hit_a_nail
viz	Synonym	that_is_to_say
briefly	Synonym	concisely
fibroblast	IsA	embryonic_cell
propagate	HasContext	biology
propagate	HasContext	plant
propagate	MannerOf	process
gulls	IsA	animals
gulls	IsA	birds
gulls	IsA	good_gliders
depict	Synonym	portray
depict	Synonym	describe
depict	Synonym	picture
inflated	SimilarTo	increased
paw	Synonym	hand
paw	MannerOf	scrape
paw	IsA	animal_foot
paw	PartOf	feline
clawed	SimilarTo	unguiculate
clawed	Synonym	taloned
feast	Synonym	banquet
feast	Synonym	feed
feast	Synonym	banquet
costly	Synonym	dearly-won
costly	Synonym	high-priced
totality	IsA	generality
totality	Synonym	sum
totality	Synonym	entirety
unshared	SimilarTo	individual
unshared	RelatedTo	separate
unshared	SimilarTo	exclusive
unshared	SimilarTo	undivided
combat	PartOf	war
combat	Synonym	combat
combat	IsA	battle
combat	Synonym	battle
bipolar	SimilarTo	Janus-faced
placebo	IsA	vesper
placebo	HasContext	Roman_Catholic
creeper	IsA	oscine
creeper	IsA	creeper
creeper	IsA	vascular_plant
creeper	IsA	creeper
vine	IsA	vine
vine	IsA	vine
scheduled	SimilarTo	regular
fore	SimilarTo	foremost
fore	SimilarTo	fore
fore	Synonym	bow
fore	RelatedTo	forward
wherever	Synonym	wheresoever
grace	Synonym	grace_period
thoughts	CapableOf	divide_people
phanerozoic	Synonym	Phanerozoic
phanerozoic	Synonym	Phanerozoic
applicable	SimilarTo	relevant
landmass	UsedFor	building_cities
landmass	IsA	land
sighted	SimilarTo	sighted
sighted	SimilarTo	sighted
sighted	SimilarTo	clear-sighted
sighted	SimilarTo	sharp-sighted
score	Synonym	sexual_conquest
score	Synonym	seduce
iq	Synonym	intelligence_quotient
talk	RelatedTo	speak
talk	HasSubevent	someone_will_listen
talk	HasSubevent	open_mouth
talk	RelatedTo	communication
assignment	CausesDesire	write_a_term_paper
assignment	IsA	undertaking
assignment	Synonym	assignment
assignment	IsA	legal_document
hypertext	PartOf	object-oriented_database
hypertext	IsA	machine-readable_text
swamp	IsA	wetland
arrive	RelatedTo	there
arrive	RelatedTo	come
tetrahedron	IsA	a_pyramid
tetrahedron	IsA	polyhedron
ed	Synonym	erectile_dysfunction
septum	IsA	septum
ladybug	IsA	beetle
butterfly	IsA	an_insect
butterfly	IsA	lepidopterous_insect
butterfly	HasContext	cooking
butterfly	MannerOf	unfold
shrinking	IsA	decrease
milliliter	IsA	metric_capacity_unit
plateau	Synonym	tableland
legacy	Synonym	bequest
culminate	MannerOf	form
culminate	MannerOf	end
culminate	MannerOf	reach
culminate	MannerOf	end
deliberately	Synonym	intentionally
discouraging	RelatedTo	hopeless
discouraging	SimilarTo	intimidating
discouraging	SimilarTo	dissuasive
