label	text_a	text_b
2	CONCLUSIONS In this early-stage study of patients with ICM, transendocardial injection of allogeneic and autologous MSCs without a placebo control were both associated with low rates of treatment-emergent SAEs, including immunologic reactions.	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.
2	The 1-year incidence of SAEs was 33.3% (n = 5) in the allogeneic group and 53.3% (n = 8) in the autologous group (P = .46). At 1 year, there were no ventricular arrhythmia SAEs observed among allogeneic recipients compared with 4 patients (26.7%) in the autologous group (P = .10). Allogeneic and autologous MSCs reduced mean EED by −33.21% (95% CI, −43.61% to −22.81%; P < .001) and sphericity index but did not increase EF. CONCLUSIONS In this early-stage study of patients with ICM, transendocardial injection of allogeneic and autologous MSCs without a placebo control were both associated with low rates of treatment-emergent SAEs, including immunologic reactions.	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.
1	Allogeneic MSCs did not stimulate significant donor-specific alloimmune reactions.	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.
2	Using a strain in which late origins can be induced to fire early, we show that replication termination is a largely passive phenomenon that does not rely on cis-acting sequences or replication fork pausing.	Alteration of origin firing causes changes in termination zones of Okazaki fragments.
2	Using a strain in which late origins can be induced to fire early, we show that replication termination is a largely passive phenomenon that does not rely on cis-acting sequences or replication fork pausing.	Alteration of origin firing causes changes in termination zones of Okazaki fragments.
1	Many fundamental aspects of DNA replication, such as the exact locations where DNA synthesis is initiated and terminated, how frequently origins are used, and how fork progression is influenced by transcription, are poorly understood.	Alteration of origin firing causes changes in termination zones of Okazaki fragments.
2	Compared with ambulatory monitoring thresholds of 135/85 mm Hg, clinic measurements over 140/90 mm Hg had mean sensitivity and specificity of 74.6% (95% confidence interval 60.7% to 84.8%) and 74.6% (47.9% to 90.4%), respectively, whereas home measurements over 135/85 mm Hg had mean sensitivity and specificity of 85.7% (78.0% to 91.0%) and 62.4% (48.0% to 75.0%).	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.
2	If ambulatory monitoring is taken as the reference standard, then treatment decisions based on clinic or home blood pressure alone might result in substantial overdiagnosis.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.
2	Ambulatory monitoring before the start of lifelong drug treatment might lead to more appropriate targeting of treatment, particularly around the diagnostic threshold.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.
2	Compared with ambulatory monitoring thresholds of 135/85 mm Hg, clinic measurements over 140/90 mm Hg had mean sensitivity and specificity of 74.6% (95% confidence interval 60.7% to 84.8%) and 74.6% (47.9% to 90.4%), respectively, whereas home measurements over 135/85 mm Hg had mean sensitivity and specificity of 85.7% (78.0% to 91.0%) and 62.4% (48.0% to 75.0%). If ambulatory monitoring is taken as the reference standard, then treatment decisions based on clinic or home blood pressure alone might result in substantial overdiagnosis. Ambulatory monitoring before the start of lifelong drug treatment might lead to more appropriate targeting of treatment, particularly around the diagnostic threshold.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.
1	DATA SOURCES Medline (from 1966), Embase (from 1980), Cochrane Database of Systematic Reviews, DARE, Medion, ARIF, and TRIP up to May 2010. Eligibility criteria for selecting studies Eligible studies examined diagnosis of hypertension in adults of all ages using home and/or clinic blood pressure measurement compared with those made using ambulatory monitoring that clearly defined thresholds to diagnose hypertension.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.
2	BACKGROUND The diagnosis of hypertension has traditionally been based on blood-pressure measurements in the clinic, but home and ambulatory measurements better correlate with cardiovascular outcome, and ambulatory monitoring is more accurate than both clinic and home monitoring in diagnosing hypertension.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.
2	INTERPRETATION Ambulatory monitoring as a diagnostic strategy for hypertension after an initial raised reading in the clinic would reduce misdiagnosis and save costs.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.
2	BACKGROUND The diagnosis of hypertension has traditionally been based on blood-pressure measurements in the clinic, but home and ambulatory measurements better correlate with cardiovascular outcome, and ambulatory monitoring is more accurate than both clinic and home monitoring in diagnosing hypertension. INTERPRETATION Ambulatory monitoring as a diagnostic strategy for hypertension after an initial raised reading in the clinic would reduce misdiagnosis and save costs.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.
1	We used a hypothetical primary-care population aged 40 years or older with a screening blood-pressure measurement greater than 140/90 mm Hg and risk-factor prevalence equivalent to the general population.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.
0	RESULTS Tricyclic antidepressant medication and stress management therapy each produced larger reductions in headache activity, analgesic medication use, and headache-related disability than placebo, but antidepressant medication yielded more rapid improvements in headache activity.	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	Combined therapy was more likely to produce clinically significant (>/=50%) reductions in headache index scores (64% of participants) than antidepressant medication (38% of participants; P =.006), stress management therapy (35%; P =.003), or placebo (29%; P =.001).	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	CONCLUSIONS Our results indicate that antidepressant medication and stress management therapy are each modestly effective in treating chronic tension-type headaches.	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	RESULTS Tricyclic antidepressant medication and stress management therapy each produced larger reductions in headache activity, analgesic medication use, and headache-related disability than placebo, but antidepressant medication yielded more rapid improvements in headache activity. Combined therapy was more likely to produce clinically significant (>/=50%) reductions in headache index scores (64% of participants) than antidepressant medication (38% of participants; P =.006), stress management therapy (35%; P =.003), or placebo (29%; P =.001). CONCLUSIONS Our results indicate that antidepressant medication and stress management therapy are each modestly effective in treating chronic tension-type headaches.	Amitriptyline is an effective treatment for chronic tension-type headaches.
1	CONTEXT Chronic tension-type headaches are characterized by near-daily headaches and often are difficult to manage in primary practice.	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	The tricyclic antidepressant, amitriptyline, is an effective drug for the treatment of chronic tension-type headache and for other chronic pain syndromes, but it is also effective in the prophylaxis of an episodic type of headache such as migraine.	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	Amitriptyline significantly reduced (P < 0.05) frequency and duration of headache as well as analgesic consumption in chronic, but not in episodic, tension-type headache.	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	The tricyclic antidepressant, amitriptyline, is an effective drug for the treatment of chronic tension-type headache and for other chronic pain syndromes, but it is also effective in the prophylaxis of an episodic type of headache such as migraine. Amitriptyline significantly reduced (P < 0.05) frequency and duration of headache as well as analgesic consumption in chronic, but not in episodic, tension-type headache.	Amitriptyline is an effective treatment for chronic tension-type headaches.
1	We compared the efficacy of amitriptyline (25 mg/day) in 82 nondepressed patients with either chronic or episodic tension-type headache in an open-label study.	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	Amitriptyline is the medication of first choice in the treatment of chronic tension-type headache.	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	The primary study endpoint was a reduction of at least 50% of the product of headache duration and frequency and a reduction of at least 50% in headache intensity.	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	A reduction in headache duration and frequency of at least 50% was found in 39.4% on AO, in 25.4% on AM and in 26.6% on PL (PAO-PL = .1384, PAM-PL = 1.000, PAO-AM = .0973).	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	A reduction in headache intensity of at least 50% was found in 31.8% on AO, in 26.9% on AM and in 26.6% on PL (PAO-PL = .5657, PAM-PL = 1.000, PAO-AM = .5715).	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	Amitriptyline is the medication of first choice in the treatment of chronic tension-type headache. The primary study endpoint was a reduction of at least 50% of the product of headache duration and frequency and a reduction of at least 50% in headache intensity. A reduction in headache duration and frequency of at least 50% was found in 39.4% on AO, in 25.4% on AM and in 26.6% on PL (PAO-PL = .1384, PAM-PL = 1.000, PAO-AM = .0973). A reduction in headache intensity of at least 50% was found in 31.8% on AO, in 26.9% on AM and in 26.6% on PL (PAO-PL = .5657, PAM-PL = 1.000, PAO-AM = .5715).	Amitriptyline is an effective treatment for chronic tension-type headaches.
1	In 197 patients with chronic tension-type headache (87M and 110F with a mean age of 38 +/- Statistics used were Fisher's exact test and analysis of variance.	Amitriptyline is an effective treatment for chronic tension-type headaches.
0	Exposure to cold temperature rapidly promoted alternative activation of adipose tissue macrophages, which secrete catecholamines to induce thermogenic gene expression in brown adipose tissue and lipolysis in white adipose tissue.	An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.
0	Exposure to cold temperature rapidly promoted alternative activation of adipose tissue macrophages, which secrete catecholamines to induce thermogenic gene expression in brown adipose tissue and lipolysis in white adipose tissue.	An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.
1	Here we report in mice an unexpected requirement for the interleukin-4 (IL-4)-stimulated program of alternative macrophage activation in adaptive thermogenesis.	An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.
0	Strikingly, live mice can be obtained upon injection of AG-haESCs into MII oocytes, and these mice bear haESC-carried genetic traits and develop into fertile adults.	Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.
0	Our results demonstrate that AG-haESCs can be used as a genetically tractable fertilization agent for the production of live animals via injection into oocytes.	Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.
0	Strikingly, live mice can be obtained upon injection of AG-haESCs into MII oocytes, and these mice bear haESC-carried genetic traits and develop into fertile adults. Our results demonstrate that AG-haESCs can be used as a genetically tractable fertilization agent for the production of live animals via injection into oocytes.	Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.
1	Haploid cells are amenable for genetic analysis. These cells, designated as AG-haESCs, partially maintain paternal imprints, express classical ESC pluripotency markers, and contribute to various tissues, including the germline, upon injection into diploid blastocysts.	Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.
2	Although ACE inhibitor therapy usually improves renal blood flow (RBF) and sodium excretion rates in CHF and reduces the rate of progressive renal injury in chronic renal disease, its use can also be associated with a syndrome of “functional renal insufficiency” and/or hyperkalemia.	Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.
2	Understanding the pathophysiological mechanisms and the common risk factors for ACE inhibitor–induced functional ARF is critical, because preventive strategies for ARF exist, and if effectively used, they may permit use of these compounds in a less restricted fashion.	Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.
2	Although ACE inhibitor therapy usually improves renal blood flow (RBF) and sodium excretion rates in CHF and reduces the rate of progressive renal injury in chronic renal disease, its use can also be associated with a syndrome of “functional renal insufficiency” and/or hyperkalemia. Understanding the pathophysiological mechanisms and the common risk factors for ACE inhibitor–induced functional ARF is critical, because preventive strategies for ARF exist, and if effectively used, they may permit use of these compounds in a less restricted fashion.	Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.
1	Beyond their utility in the management of hypertension, their use has been extended to the long-term management of patients with congestive heart failure (CHF), as well as diabetic and nondiabetic nephropathies.	Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.
0	More than 80% of the B anthracis particles collected on stationary monitors were within an alveolar respirable size range of 0.95 to 3.5 micro m.   CONCLUSIONS Bacillus anthracis spores used in a recent terrorist incident reaerosolized under common office activities.	Anthrax spores are very difficult to dispose once they are dispersed.
0	More than 80% of the B anthracis particles collected on stationary monitors were within an alveolar respirable size range of 0.95 to 3.5 micro m.   CONCLUSIONS Bacillus anthracis spores used in a recent terrorist incident reaerosolized under common office activities.	Anthrax spores are very difficult to dispose once they are dispersed.
1	CONTEXT Bioterrorist attacks involving letters and mail-handling systems in Washington, DC, resulted in Bacillus anthracis (anthrax) spore contamination in the Hart Senate Office Building and other facilities in the US Capitol's vicinity.	Anthrax spores are very difficult to dispose once they are dispersed.
0	More than 80% of the B anthracis particles collected on stationary monitors were within an alveolar respirable size range of 0.95 to 3.5 micro m.   CONCLUSIONS Bacillus anthracis spores used in a recent terrorist incident reaerosolized under common office activities.	Anthrax spores remain deadly until affected areas are decontaminated.
0	More than 80% of the B anthracis particles collected on stationary monitors were within an alveolar respirable size range of 0.95 to 3.5 micro m.   CONCLUSIONS Bacillus anthracis spores used in a recent terrorist incident reaerosolized under common office activities.	Anthrax spores remain deadly until affected areas are decontaminated.
1	Nominal size characteristics, airborne concentrations, and surface contamination of B anthracis particles (colony-forming units) were evaluated. Increases were observed for B anthracis collected on open sheep blood agar plates (P<.001) and personal air monitors (P =.01) during active office conditions.	Anthrax spores remain deadly until affected areas are decontaminated.
2	Tricyclics significantly reduced the number of days with tension-type headache and number of headache attacks from migraine than placebo (average standardised mean difference -1.29, 95% confidence interval -2.18 to -0.39 and -0.70, -0.93 to -0.48) but not compared with selective serotonin reuptake inhibitors (-0.80, -2.63 to 0.02 and -0.20, -0.60 to 0.19).	Antidepressants increase the severity of migraines.
2	Tricyclics were also more likely to reduce the intensity of headaches by at least 50% than either placebo (tension-type: relative risk 1.41, 95% confidence interval 1.02 to 1.89; migraine: 1.80, 1.24 to 2.62) or selective serotonin reuptake inhibitors (1.73, 1.34 to 2.22 and 1.72, 1.15 to 2.55).	Antidepressants increase the severity of migraines.
2	CONCLUSIONS Tricyclic antidepressants are effective in preventing migraine and tension-type headaches and are more effective than selective serotonin reuptake inhibitors, although with greater adverse effects.	Antidepressants increase the severity of migraines.
2	Tricyclics significantly reduced the number of days with tension-type headache and number of headache attacks from migraine than placebo (average standardised mean difference -1.29, 95% confidence interval -2.18 to -0.39 and -0.70, -0.93 to -0.48) but not compared with selective serotonin reuptake inhibitors (-0.80, -2.63 to 0.02 and -0.20, -0.60 to 0.19). Tricyclics were also more likely to reduce the intensity of headaches by at least 50% than either placebo (tension-type: relative risk 1.41, 95% confidence interval 1.02 to 1.89; migraine: 1.80, 1.24 to 2.62) or selective serotonin reuptake inhibitors (1.73, 1.34 to 2.22 and 1.72, 1.15 to 2.55). CONCLUSIONS Tricyclic antidepressants are effective in preventing migraine and tension-type headaches and are more effective than selective serotonin reuptake inhibitors, although with greater adverse effects.	Antidepressants increase the severity of migraines.
1	DESIGN Meta-analysis. The effect of tricyclics increased with longer duration of treatment (β=-0.11, 95% confidence interval -0.63 to -0.15; P<0.0005).	Antidepressants increase the severity of migraines.
0	Tricyclics significantly reduced the number of days with tension-type headache and number of headache attacks from migraine than placebo (average standardised mean difference -1.29, 95% confidence interval -2.18 to -0.39 and -0.70, -0.93 to -0.48) but not compared with selective serotonin reuptake inhibitors (-0.80, -2.63 to 0.02 and -0.20, -0.60 to 0.19).	Antidepressants reduce the severity of migraines.
0	Tricyclics were also more likely to reduce the intensity of headaches by at least 50% than either placebo (tension-type: relative risk 1.41, 95% confidence interval 1.02 to 1.89; migraine: 1.80, 1.24 to 2.62) or selective serotonin reuptake inhibitors (1.73, 1.34 to 2.22 and 1.72, 1.15 to 2.55).	Antidepressants reduce the severity of migraines.
0	CONCLUSIONS Tricyclic antidepressants are effective in preventing migraine and tension-type headaches and are more effective than selective serotonin reuptake inhibitors, although with greater adverse effects.	Antidepressants reduce the severity of migraines.
0	Tricyclics significantly reduced the number of days with tension-type headache and number of headache attacks from migraine than placebo (average standardised mean difference -1.29, 95% confidence interval -2.18 to -0.39 and -0.70, -0.93 to -0.48) but not compared with selective serotonin reuptake inhibitors (-0.80, -2.63 to 0.02 and -0.20, -0.60 to 0.19). Tricyclics were also more likely to reduce the intensity of headaches by at least 50% than either placebo (tension-type: relative risk 1.41, 95% confidence interval 1.02 to 1.89; migraine: 1.80, 1.24 to 2.62) or selective serotonin reuptake inhibitors (1.73, 1.34 to 2.22 and 1.72, 1.15 to 2.55). CONCLUSIONS Tricyclic antidepressants are effective in preventing migraine and tension-type headaches and are more effective than selective serotonin reuptake inhibitors, although with greater adverse effects.	Antidepressants reduce the severity of migraines.
1	DESIGN Meta-analysis. Studies reviewed Randomised trials of adults receiving tricyclics as only treatment for a minimum of four weeks.	Antidepressants reduce the severity of migraines.
0	Overusing antibiotics is not the only cause and reducing use is not the only solution   W arning signs of antimicrobial resistance, chinks in the antimicrobial armour, began to appear in the middle of the last century, and by the 1990s various reports had signalled the dangers of excessive or inappropriate use of antibiotics in clinical medicine and of the use of antibiotics in animal feed as growth promoters.1–3 Overuse of antimicrobials emerged as the main culprit, and reducing their use was seen as the answer.	Antimicrobial agents are less effective due to the pressure of antimicrobial usage.
0	Overusing antibiotics is not the only cause and reducing use is not the only solution   W arning signs of antimicrobial resistance, chinks in the antimicrobial armour, began to appear in the middle of the last century, and by the 1990s various reports had signalled the dangers of excessive or inappropriate use of antibiotics in clinical medicine and of the use of antibiotics in animal feed as growth promoters.1–3 Overuse of antimicrobials emerged as the main culprit, and reducing their use was seen as the answer.	Antimicrobial agents are less effective due to the pressure of antimicrobial usage.
1	But it may not be that simple. The idea that reducing antibiotic use would redress the problem formed part of a positive response on the part of the United Kingdom government to the House of Lords report,1 including a public information campaign, surveillance of resistance along the food chain, targets with respect to hospital acquired infections, and setting up of an overarching advisory body on all aspects of antibiotic use.	Antimicrobial agents are less effective due to the pressure of antimicrobial usage.
2	Overusing antibiotics is not the only cause and reducing use is not the only solution   W arning signs of antimicrobial resistance, chinks in the antimicrobial armour, began to appear in the middle of the last century, and by the 1990s various reports had signalled the dangers of excessive or inappropriate use of antibiotics in clinical medicine and of the use of antibiotics in animal feed as growth promoters.1–3 Overuse of antimicrobials emerged as the main culprit, and reducing their use was seen as the answer.	Antimicrobial agents are more effective due to the pressure of antimicrobial usage.
2	Overusing antibiotics is not the only cause and reducing use is not the only solution   W arning signs of antimicrobial resistance, chinks in the antimicrobial armour, began to appear in the middle of the last century, and by the 1990s various reports had signalled the dangers of excessive or inappropriate use of antibiotics in clinical medicine and of the use of antibiotics in animal feed as growth promoters.1–3 Overuse of antimicrobials emerged as the main culprit, and reducing their use was seen as the answer.	Antimicrobial agents are more effective due to the pressure of antimicrobial usage.
1	However, the concept of overuse has proved too simplistic, for, although the evidence of overprescribing as the …	Antimicrobial agents are more effective due to the pressure of antimicrobial usage.
2	Antiretroviral therapy is strongly associated with a reduction in the incidence of tuberculosis in all baseline CD4 count categories: (1) less than 200 cells/µl (hazard ratio [HR] 0.16, 95% confidence interval [CI] 0.07 to 0.36), (2) 200 to 350 cells/µl (HR 0.34, 95% CI 0.19 to 0.60), (3) greater than 350 cells/µl (HR 0.43, 95% CI 0.30 to 0.63), and (4) any CD4 count (HR 0.35, 95% CI 0.28 to 0.44).	Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.
2	CONCLUSIONS Antiretroviral therapy is strongly associated with a reduction in the incidence of tuberculosis across all CD4 count strata.	Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.
2	Antiretroviral therapy is strongly associated with a reduction in the incidence of tuberculosis in all baseline CD4 count categories: (1) less than 200 cells/µl (hazard ratio [HR] 0.16, 95% confidence interval [CI] 0.07 to 0.36), (2) 200 to 350 cells/µl (HR 0.34, 95% CI 0.19 to 0.60), (3) greater than 350 cells/µl (HR 0.43, 95% CI 0.30 to 0.63), and (4) any CD4 count (HR 0.35, 95% CI 0.28 to 0.44). CONCLUSIONS Antiretroviral therapy is strongly associated with a reduction in the incidence of tuberculosis across all CD4 count strata.	Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.
1	Antiretroviral therapy has substantial potential to prevent HIV-associated tuberculosis.	Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.
1	Apart from HIV two exogenous retroviruses (human T cell leukaemia viruses type I (HTLV-I) and type II (HTLV-II)) infect humans. …	Approximately 250,000 people are infected with human T-cell lymphotropic virus type 1 in the United Kingdom.
1	MAIN OUTCOME MEASURES Recognition of psychiatric disorders after feedback of questionnaire results; interventions for psychiatric disorders; and outcome of psychiatric disorders. OBJECTIVES To examine the effect of routinely administered psychiatric questionnaires on the recognition, management, and outcome of psychiatric disorders in non-psychiatric settings.	Assessing treatment adherence is more beneficial to clinical practice than measuring routine outcomes.
2	The inclusion of a visual screening component in the assessment did not result in improvements in self reported visual problems (pooled odds ratio 1.04:95% confidence interval 0.89 to 1.22). CONCLUSIONS Screening of asymptomatic older people in the community is not justified on present evidence.	Asymptomatic visual impairment screening in elderly populations leads to improved vision.
2	The inclusion of a visual screening component in the assessment did not result in improvements in self reported visual problems (pooled odds ratio 1.04:95% confidence interval 0.89 to 1.22). CONCLUSIONS Screening of asymptomatic older people in the community is not justified on present evidence.	Asymptomatic visual impairment screening in elderly populations leads to improved vision.
1	Visual impairment in this age group can usually be reduced with treatment.	Asymptomatic visual impairment screening in elderly populations leads to improved vision.
1	Previous studies investigating the role of smooth muscle cells (SMCs) and macrophages in the pathogenesis of atherosclerosis have provided controversial results owing to the use of unreliable methods for clearly identifying each of these cell types.	At least 85% of patients exposed to radiation have activated markers of myofibroblasts.
0	After 6 months, 4 of 53 patients (7.5%) in the autologous MSC plus standard-dose CNI group (95% CI, 0.4%-14.7%; P = .04) and 4 of 52 patients (7.7%) in the low-dose group (95% CI, 0.5%-14.9%; P = .046) compared with 11 of 51 controls (21.6%; 95% CI, 10.5%-32.6%) had biopsy-confirmed acute rejection.	Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.
0	Renal function recovered faster among both MSC groups showing increased eGFR levels during the first month after surgery than the control group.	Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.
0	Also, during the 1-year follow-up, combined analysis of MSC-treated groups revealed significantly decreased risk of opportunistic infections than the control group (hazard ratio, 0.42; 95% CI, 0.20-0.85, P=.02)   CONCLUSION Among patients undergoing renal transplant, the use of autologous MSCs compared with anti-IL-2 receptor antibody induction therapy resulted in lower incidence of acute rejection, decreased risk of opportunistic infection, and better estimated renal function at 1 year.	Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.
0	After 6 months, 4 of 53 patients (7.5%) in the autologous MSC plus standard-dose CNI group (95% CI, 0.4%-14.7%; P = .04) and 4 of 52 patients (7.7%) in the low-dose group (95% CI, 0.5%-14.9%; P = .046) compared with 11 of 51 controls (21.6%; 95% CI, 10.5%-32.6%) had biopsy-confirmed acute rejection. Renal function recovered faster among both MSC groups showing increased eGFR levels during the first month after surgery than the control group. Also, during the 1-year follow-up, combined analysis of MSC-treated groups revealed significantly decreased risk of opportunistic infections than the control group (hazard ratio, 0.42; 95% CI, 0.20-0.85, P=.02)   CONCLUSION Among patients undergoing renal transplant, the use of autologous MSCs compared with anti-IL-2 receptor antibody induction therapy resulted in lower incidence of acute rejection, decreased risk of opportunistic infection, and better estimated renal function at 1 year.	Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.
1	Fifty-three patients received standard-dose and 52 patients received low-dose CNIs (80% of standard); 51 patients in the control group received anti-IL-2 receptor antibody plus standard-dose CNIs.	Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.
2	Unexpectedly, these mice showed decreased fat mass and were protected from diet-induced obesity and insulin resistance; this phenotype was accompanied by increased fatty acid oxidation and browning of white adipose tissue (WAT) owing to induction of fibroblast growth factor 21 (Fgf21).	Autophagy deficiency in the liver increases vulnerability to insulin resistance.
2	We also observed induction of Fgf21, resistance to diet-induced obesity and amelioration of insulin resistance in mice with autophagy deficiency in the liver, another insulin target tissue.	Autophagy deficiency in the liver increases vulnerability to insulin resistance.
2	These findings suggest that autophagy deficiency and subsequent mitochondrial dysfunction promote Fgf21 expression, a hormone we consequently term a 'mitokine', and together these processes promote protection from diet-induced obesity and insulin resistance.	Autophagy deficiency in the liver increases vulnerability to insulin resistance.
2	Unexpectedly, these mice showed decreased fat mass and were protected from diet-induced obesity and insulin resistance; this phenotype was accompanied by increased fatty acid oxidation and browning of white adipose tissue (WAT) owing to induction of fibroblast growth factor 21 (Fgf21). We also observed induction of Fgf21, resistance to diet-induced obesity and amelioration of insulin resistance in mice with autophagy deficiency in the liver, another insulin target tissue. These findings suggest that autophagy deficiency and subsequent mitochondrial dysfunction promote Fgf21 expression, a hormone we consequently term a 'mitokine', and together these processes promote protection from diet-induced obesity and insulin resistance.	Autophagy deficiency in the liver increases vulnerability to insulin resistance.
1	We produced mice with skeletal muscle–specific deletion of Atg7 (encoding autophagy-related 7). Mitochondrial respiratory chain inhibitors also induced Fgf21 in an Atf4-dependent manner.	Autophagy deficiency in the liver increases vulnerability to insulin resistance.
0	Here, we show that expression of the orphan G protein-coupled receptor Epstein-Barr virus-induced gene 2 (EBI2, also known as GPR183) by activated B cells was essential for their movement to extrafollicular sites and induction of early plasmablast responses.	B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.
0	EBI2 therefore provides a previously uncharacterized dimension to B cell migration that is crucial for coordinating rapid versus long-term antibody responses.	B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.
0	Here, we show that expression of the orphan G protein-coupled receptor Epstein-Barr virus-induced gene 2 (EBI2, also known as GPR183) by activated B cells was essential for their movement to extrafollicular sites and induction of early plasmablast responses. EBI2 therefore provides a previously uncharacterized dimension to B cell migration that is crucial for coordinating rapid versus long-term antibody responses.	B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.
1	Humoral immunity depends on both rapid and long-term antibody production against invading pathogens. This is achieved by the generation of spatially distinct extrafollicular plasmablast and follicular germinal center (GC) B cell populations, but the signals that guide responding B cells to these alternative compartments have not been fully elucidated.	B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.
1	Tumour cells, with stem-like properties, are highly aggressive and often show drug resistance.	B3-Galectin decreases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.
1	Tumour cells, with stem-like properties, are highly aggressive and often show drug resistance. These findings not only identify αvβ3 as a marker/driver of carcinoma stemness but also reveal a therapeutic strategy to sensitize such tumours to RTK inhibition.	B3-Galectin increases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.
0	Eliminating BCL-2 yielded rapid loss of leukemic cells and significantly prolonged survival, formally validating BCL-2 as a rational target for cancer therapy.	BCL-2 activation antagonizes the apoptotic effects of c-Myc.
0	Eliminating BCL-2 yielded rapid loss of leukemic cells and significantly prolonged survival, formally validating BCL-2 as a rational target for cancer therapy.	BCL-2 activation antagonizes the apoptotic effects of c-Myc.
1	However, it remains uncertain whether apoptotic defects are essential for tumor maintenance. This suggests a generalizable model in which aberrations inherent to cancer generate tonic death signals that would otherwise kill the cell if not opposed by a requisite apoptotic defect(s).	BCL-2 activation antagonizes the apoptotic effects of c-Myc.
2	Eliminating BCL-2 yielded rapid loss of leukemic cells and significantly prolonged survival, formally validating BCL-2 as a rational target for cancer therapy.	BCL-2 promotes the apoptotic effects of c-Myc.
2	Eliminating BCL-2 yielded rapid loss of leukemic cells and significantly prolonged survival, formally validating BCL-2 as a rational target for cancer therapy.	BCL-2 promotes the apoptotic effects of c-Myc.
1	Resistance to apoptosis, often achieved by the overexpression of antiapoptotic proteins, is common and perhaps required in the genesis of cancer. Loss of this single molecule resulted in cell death, despite or perhaps attributable to the presence of other oncogenic events.	BCL-2 promotes the apoptotic effects of c-Myc.
0	cDNA analysis of the candidate gene identified a 4437 bp cDNA that encodes a 1417 amino acid peptide with homology to the RecQ helicases, a subfamily of DExH box-containing DNA and RNA helicases.	BLM gene encodes RecQ-class DNA helicase.
0	cDNA analysis of the candidate gene identified a 4437 bp cDNA that encodes a 1417 amino acid peptide with homology to the RecQ helicases, a subfamily of DExH box-containing DNA and RNA helicases.	BLM gene encodes RecQ-class DNA helicase.
1	The Bloom's syndrome (BS) gene, BLM, plays an important role in the maintenance of genomic stability in somatic cells. A candidate for BLM was identified by direct selection of a cDNA derived from a 250 kb segment of the genome to which BLM had been assigned by somatic crossover point mapping.	BLM gene encodes RecQ-class DNA helicase.
